year,TS,VS,N,P,K,TS_liquid,VS_liquid,N_liquid,P_liquid,K_liquid,TS_DM_effluent,manure_applied,N_applied,P_applied
,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg
2031,179856415336.43216,591647346343.7155,77496266726353.75,50935869871361.79,23179430484.61476,16628634109.647123,15345236017.453047,5748758459098.992,2426734514249.732,4199925179.161197,1425311495.1126087,66.38755287180437,24342.456724606927,12000.0
2032,185666168897.44113,610759600947.8173,80006981538397.28,52584519488759.58,23934716549.428467,16945114552.942703,15637299221.537636,5858334561434.704,2472974426096.627,4279954367.2776275,1452438390.2522292,59.74488782171778,21908.891976919804,10800.0
2033,191553089762.6514,630125719029.183,82551018721765.9,54255038973736.89,24699998165.889248,17170185856.863167,15845005702.93549,5936086761193.281,2505779227466.01,4336595826.611118,1471730216.3025577,89.61163785085066,32864.32422337502,16200.0
2034,197533454743.85733,649799250809.844,85135350747302.64,55952017351101.83,25477322460.305916,17442731195.183723,16096526002.358292,6030108059586.237,2545467566047.253,4404837668.36107,1495091245.301463,3.3186848932047948,1217.244187882949,600.0
2035,203606687734.01242,669778307045.4542,87759849413275.0,57675378423006.33,26266689432.678448,17713596221.28551,16346500556.4083,6123830220602.247,2585041607856.714,4473079510.111013,1518308247.5387564,66.37145942004265,24345.283543059613,12000.0
2036,209790047838.35684,690119651636.0027,90431931285011.84,59429978498267.94,27070311267.900345,18034800304.33765,16642918301.358004,6234857700719.586,2631900112892.418,4553857066.257426,1545840026.0860837,1.6591541931985165,608.6555131243905,300.0
2037,216049046034.48633,710709846014.179,93136753649533.94,61206077624130.305,27883796589.82286,18255411405.377525,16846522673.052633,6311252183884.745,2664148688793.502,4609750157.5609045,1564749549.0323572,0.0,0.0,0.0
2038,222399830693.2049,731602000419.7277,95881287211020.89,63008212665951.71,28709324589.701237,18523121921.262764,17093580877.267254,6403911643469.583,2703202562732.123,4677991999.310849,1587696164.6796653,3.3179997287707526,1217.365751180802,600.0
2039,228843445555.1196,752799536108.2345,98665828609939.72,64836581602921.43,29546895267.535492,18793876680.58475,17343438290.597546,6497263264143.585,2742553405454.6265,4746233841.060794,1610903715.4786935,58.06335891245092,21304.20139151423,10500.0
2040,235398081936.06937,774362317678.204,101498260414559.48,66696390359157.86,30398852873.165592,19117689444.43701,17642275829.97529,6609007544112.693,2789713134354.7095,4827759765.237208,1638659095.2374575,91.23833755605087,33478.823680959424,16500.0
