county_code,gps_county,feed_id,neighbor_values,neighbor_distances
1119,"(32.646429999999995, -88.20871)",110,[np.float64(0.6643603244444444)],[38.20800913489049]
1119,"(32.646429999999995, -88.20871)",111,[np.float64(0.6643603244444444)],[38.20800913489049]
1119,"(32.646429999999995, -88.20871)",164,[np.float64(1.0743963933333334)],[38.20800913489049]
1119,"(32.646429999999995, -88.20871)",165,[np.float64(1.0743963933333334)],[38.20800913489049]
1119,"(32.646429999999995, -88.20871)",166,[np.float64(1.0743963933333334)],[38.20800913489049]
1119,"(32.646429999999995, -88.20871)",167,[np.float64(1.0743963933333334)],[38.20800913489049]
1119,"(32.646429999999995, -88.20871)",169,[np.float64(1.0743963933333334)],[38.20800913489049]
1119,"(32.646429999999995, -88.20871)",170,[np.float64(1.0743963933333334)],[38.20800913489049]
1119,"(32.646429999999995, -88.20871)",171,[np.float64(1.0743963933333334)],[38.20800913489049]
1119,"(32.646429999999995, -88.20871)",172,[np.float64(1.0743963933333334)],[38.20800913489049]
1119,"(32.646429999999995, -88.20871)",193,[np.float64(2.237722721404304)],[38.20800913489049]
1119,"(32.646429999999995, -88.20871)",197,[np.float64(2.237722721404304)],[38.20800913489049]
4005,"(35.615070833333334, -111.60136666666666)",1,"[np.float64(0.2961690098901098), np.float64(0.3545503142857142)]","[139.81482015788097, 127.95774866999056]"
4005,"(35.615070833333334, -111.60136666666666)",40,"[np.float64(0.9061852306818182), np.float64(0.5553761465909091)]","[139.81482015788097, 127.95774866999056]"
4005,"(35.615070833333334, -111.60136666666666)",41,"[np.float64(0.9061852306818182), np.float64(0.5553761465909091)]","[139.81482015788097, 127.95774866999056]"
4005,"(35.615070833333334, -111.60136666666666)",43,"[np.float64(0.9061852306818182), np.float64(0.5553761465909091)]","[139.81482015788097, 127.95774866999056]"
4005,"(35.615070833333334, -111.60136666666666)",44,"[np.float64(0.9061852306818182), np.float64(0.5553761465909091)]","[139.81482015788097, 127.95774866999056]"
4005,"(35.615070833333334, -111.60136666666666)",46,"[np.float64(0.9061852306818182), np.float64(0.5553761465909091)]","[139.81482015788097, 127.95774866999056]"
4005,"(35.615070833333334, -111.60136666666666)",47,"[np.float64(0.9061852306818182), np.float64(0.5553761465909091)]","[139.81482015788097, 127.95774866999056]"
4005,"(35.615070833333334, -111.60136666666666)",50,"[np.float64(0.2826905142857143), np.float64(0.1648636057142857)]","[139.81482015788097, 127.95774866999056]"
4005,"(35.615070833333334, -111.60136666666666)",51,"[np.float64(0.2826905142857143), np.float64(0.1648636057142857)]","[139.81482015788097, 127.95774866999056]"
4005,"(35.615070833333334, -111.60136666666666)",52,"[np.float64(0.2826905142857143), np.float64(0.1648636057142857)]","[139.81482015788097, 127.95774866999056]"
4005,"(35.615070833333334, -111.60136666666666)",53,"[np.float64(0.2826905142857143), np.float64(0.1648636057142857)]","[139.81482015788097, 127.95774866999056]"
4005,"(35.615070833333334, -111.60136666666666)",54,"[np.float64(0.2826905142857143), np.float64(0.1648636057142857)]","[139.81482015788097, 127.95774866999056]"
4005,"(35.615070833333334, -111.60136666666666)",55,"[np.float64(0.2826905142857143), np.float64(0.1648636057142857)]","[139.81482015788097, 127.95774866999056]"
4005,"(35.615070833333334, -111.60136666666666)",56,"[np.float64(0.2826905142857143), np.float64(0.1648636057142857)]","[139.81482015788097, 127.95774866999056]"
4005,"(35.615070833333334, -111.60136666666666)",61,"[np.float64(1.420377531460674), np.float64(1.3273985235955057)]","[139.81482015788097, 127.95774866999056]"
4005,"(35.615070833333334, -111.60136666666666)",62,"[np.float64(1.420377531460674), np.float64(1.3273985235955057)]","[139.81482015788097, 127.95774866999056]"
4005,"(35.615070833333334, -111.60136666666666)",63,"[np.float64(1.420377531460674), np.float64(1.3273985235955057)]","[139.81482015788097, 127.95774866999056]"
4005,"(35.615070833333334, -111.60136666666666)",64,"[np.float64(1.420377531460674), np.float64(1.3273985235955057)]","[139.81482015788097, 127.95774866999056]"
