county_code,gps_county,feed_id,neighbor_values,neighbor_distances
4015,"(35.272444, -114.13116400000001)",109,"[np.float64(0.4067759266666667), np.float64(0.4545404422222222)]","[164.36919739974, 177.46159457719054]"
4015,"(35.272444, -114.13116400000001)",110,"[np.float64(0.4067759266666667), np.float64(0.4545404422222222)]","[164.36919739974, 177.46159457719054]"
4015,"(35.272444, -114.13116400000001)",111,"[np.float64(0.4067759266666667), np.float64(0.4545404422222222)]","[164.36919739974, 177.46159457719054]"
4019,"(32.16647454545454, -111.07206000000002)",1,"[np.float64(0.2024658131868131), np.float64(0.1508544714285714)]","[93.29145532905099, 70.34455274951796]"
4019,"(32.16647454545454, -111.07206000000002)",40,"[np.float64(0.1346190431818182), np.float64(0.0096584613636363)]","[93.29145532905099, 70.34455274951796]"
4019,"(32.16647454545454, -111.07206000000002)",41,"[np.float64(0.1346190431818182), np.float64(0.0096584613636363)]","[93.29145532905099, 70.34455274951796]"
4019,"(32.16647454545454, -111.07206000000002)",43,"[np.float64(0.1346190431818182), np.float64(0.0096584613636363)]","[93.29145532905099, 70.34455274951796]"
4019,"(32.16647454545454, -111.07206000000002)",44,"[np.float64(0.1346190431818182), np.float64(0.0096584613636363)]","[93.29145532905099, 70.34455274951796]"
4019,"(32.16647454545454, -111.07206000000002)",46,"[np.float64(0.1346190431818182), np.float64(0.0096584613636363)]","[93.29145532905099, 70.34455274951796]"
4019,"(32.16647454545454, -111.07206000000002)",47,"[np.float64(0.1346190431818182), np.float64(0.0096584613636363)]","[93.29145532905099, 70.34455274951796]"
4019,"(32.16647454545454, -111.07206000000002)",50,"[np.float64(0.0132922571428571), np.float64(0.0020300771428571)]","[93.29145532905099, 70.34455274951796]"
4019,"(32.16647454545454, -111.07206000000002)",51,"[np.float64(0.0132922571428571), np.float64(0.0020300771428571)]","[93.29145532905099, 70.34455274951796]"
4019,"(32.16647454545454, -111.07206000000002)",52,"[np.float64(0.0132922571428571), np.float64(0.0020300771428571)]","[93.29145532905099, 70.34455274951796]"
4019,"(32.16647454545454, -111.07206000000002)",53,"[np.float64(0.0132922571428571), np.float64(0.0020300771428571)]","[93.29145532905099, 70.34455274951796]"
4019,"(32.16647454545454, -111.07206000000002)",54,"[np.float64(0.0132922571428571), np.float64(0.0020300771428571)]","[93.29145532905099, 70.34455274951796]"
4019,"(32.16647454545454, -111.07206000000002)",55,"[np.float64(0.0132922571428571), np.float64(0.0020300771428571)]","[93.29145532905099, 70.34455274951796]"
4019,"(32.16647454545454, -111.07206000000002)",56,"[np.float64(0.0132922571428571), np.float64(0.0020300771428571)]","[93.29145532905099, 70.34455274951796]"
4019,"(32.16647454545454, -111.07206000000002)",61,"[np.float64(0.023895113483146), np.float64(0.0599389292134831)]","[93.29145532905099, 70.34455274951796]"
4019,"(32.16647454545454, -111.07206000000002)",62,"[np.float64(0.023895113483146), np.float64(0.0599389292134831)]","[93.29145532905099, 70.34455274951796]"
4019,"(32.16647454545454, -111.07206000000002)",63,"[np.float64(0.023895113483146), np.float64(0.0599389292134831)]","[93.29145532905099, 70.34455274951796]"
4019,"(32.16647454545454, -111.07206000000002)",64,"[np.float64(0.023895113483146), np.float64(0.0599389292134831)]","[93.29145532905099, 70.34455274951796]"
4019,"(32.16647454545454, -111.07206000000002)",65,"[np.float64(0.023895113483146), np.float64(0.0599389292134831)]","[93.29145532905099, 70.34455274951796]"
